Node ID,Element ID,Dim 1,Dim 2,Dim 3,Volume
0,B3,346.997350738701,20,80,0.532795761181932
1,B4,318,20,80,0.492800000000007
2,B5,327.388400461007,20,80,0.533421440737623
3,B6,328.130822707215,20,80,0.493009316331553
4,B7,170.625001928786,20,80,0.281000003086063
5,B8,549.793014591124,20,80,0.863668823345817
6,B9,80.5000000000001,20,80,0.111979068936583
7,B1,356.988536484915,10,80,0.264783792028258
8,B2,356.988542419634,10,80,0.26559083393572
9,B10,1234,20,80,1.94336124315882
10,B11,429.970729935588,20,80,0.655953167896952
11,B12,429.970729935585,20,80,0.655953167896947
12,B14,429.970729935586,30,80,0.983929751845415
13,B13,208.308882265739,20,80,0.301294211625188
14,S1,20,319.693310748625,319.693310748625,1.84017719670299
15,S2,20,164.419238222233,132.780088511576,0.915074486582095
16,S3,20,510.108310589576,510.108310589576,11.2220289530079
17,S4,20,295.934792079879,295.934792079879,1.84654813025043
18,S5,20,319.159712602592,319.159712602592,1.87530693177933
19,S6,20,712.86685366362,459.589499528813,15.9012655288519
20,S7,20,714.526699039307,465.677213849624,15.8853801591914
21,S8,20,264.780192796332,264.780192796332,8.97110442146445
22,S9,20,310.319417267752,310.319417267752,1.84869188874839
23,S10,20,311.106294565225,311.106294565225,1.84306332714518
24,S11,20,655.889504110994,340.136670267566,19.5251050952192
25,S12,20,656.10203308094,338.940740252894,19.5331638158686
26,S19,15,186.822276111785,191.883748956277,0.444252768882994
27,S20,15,165.196225003693,165.196225003693,0.743811519631342
28,S21,15,186.374581553204,192.245839572778,0.443128003539252
29,S22,15,164.610732393345,164.610732393345,0.745498014075223
30,S13,20,426.489905374516,426.489905374516,3.95211783657906
31,S14,20,426.489905374517,426.489905374517,3.97344268526959
32,S15,20,326.201455597171,333.817294826925,2.02820669512472
33,S16,20,325.480447844388,336.276784956907,1.93129251321897
34,S17,20,227.564310756621,353.292107426579,1.9714905247804
35,S18,20,363.523027465846,7.16840788912259,3.38087175318692
36,W1,300,20,943.680526623785,5.60208315974271
37,W2,300,20,360.534564432722,2.16320738659633
38,W3,300,20,34,0.144000000000001
39,W4,300,20,341.484043304507,1.98890425982704
40,W62,300,30,353.034564432722,3.24481107989449
41,W69,300,35,308.947096673116,2.98144451506772
42,W5,300,20,429.970729935588,2.69982437961353
43,W6,300,20,429.970724000868,2.6998243440052
44,W7,300,20,502.255824636,2.74540513401206
45,W8,300,20,943.68052068906,5.54208312413436
46,W9,300,20,359.525572137182,2.15715343282309
47,W10,300,20,250,1.5
48,W63,300,30,352.025572137182,3.23573014923464
49,W70,300,35,308.947096673119,2.98144451506775
50,W74,300,45,59.4363672835233,0.937390958327566
51,W75,300,45,59.4363613487989,0.802390878208787
52,W11,300,20,502.315142213824,2.81889085328294
53,W12,300,20,668.435639092759,3.87561383455655
54,W78,300,25,535.549543678992,3.86662157759244
55,W13,300,20,22.9451756025811,0.212671053615488
56,W14,300,20,22.945175602583,0.212671053615498
57,W79,300,25,208.308882265739,1.52481661699304
58,W80,300,25,208.308882265739,1.52481661699304
59,W91,300,15,392.567178121287,1.65405230154579
60,W92,300,15,241.602791219933,1.0872125604897
61,W15,300,20,408.983942414181,2.40890365448509
62,W16,300,20,302.49294657917,1.81495767947502
63,W17,300,20,371.038766811599,2.22623260086959
64,W18,300,20,180,1.02
65,W19,300,20,231.418347084098,1.41251008250459
66,W105,300,28,73.7388827761233,0.535406615319434
67,W64,300,30,132.12046127058,0.905584151435217
68,W71,300,35,297.937950074723,3.1808484757846
69,W20,300,20,341.48395428363,1.98890372570178
70,W21,300,20,207.418720971776,1.36451232583065
71,W22,300,20,360,2.22
72,W23,300,20,21.9876759497549,0.215926055698532
73,W106,300,28,328.130822707215,2.75629891074061
74,W24,300,20,519.763910699021,3.09458346419412
75,W25,300,20,701.959284224681,4.09175570534809
76,W26,300,20,324.392278210424,1.94635366926255
77,W27,300,20,226,1.296
78,W72,300,35,338.060124700458,3.54963130935481
79,W28,300,20,441.870055632119,2.54622033379271
80,W81,300,25,1088.85594879046,8.16641961592845
81,W76,300,45,35.1928785672155,0.475103860657409
82,W29,300,20,17.6220084534293,0.0307320507205763
83,W82,300,25,202.934588646393,1.42825941484795
84,W30,300,20,397.819475156654,2.38691685093992
85,W93,300,15,290.749647774066,1.2183734149833
86,W94,300,15,69.4363613487977,0.31246362606959
87,W31,300,20,60,0.36
88,W83,300,25,290.749647774066,2.0306223583055
89,W95,300,15,241.602791219933,1.0872125604897
90,W77,300,45,35.1928785672155,0.475103860657407
91,W84,300,25,576.692168180624,4.21269126135468
92,W65,300,30,17.4409435500846,0.269468491950761
93,W85,300,25,395.979722231131,2.78234791673348
94,W66,300,30,24.9405934012949,0.314465340611655
95,W67,300,30,16,0.144
96,W86,300,25,678.433718022221,4.99450288516665
97,W87,300,25,19.1468624888591,0.0498514686664437
98,W88,300,25,238,1.69125
99,W89,300,25,44.436171437592,0.42702128578194
100,W32,300,20,199.607284400344,1.18264370640207
101,W33,300,20,207.359308438351,1.24415585063011
102,W34,300,20,362,2.232
103,W107,300,28,328.130917662816,2.58829970836766
104,W35,300,20,520.154960421328,3.26492976252797
105,W36,300,20,712,4.212
106,W37,300,20,316.892278210424,1.82635366926255
107,W38,300,20,220,1.26
108,W96,300,15,333.887606988263,1.50249423144719
109,W39,300,20,468.870055632121,2.72322033379273
110,W40,300,20,226,1.356
111,W73,300,35,337.938199333183,3.33810679834652
112,W41,300,20,328.345900113834,1.895075400683
113,W108,300,28,31.5874558901539,0.181334629477292
114,W42,300,20,20,0.0600000000000002
115,W109,300,10,165.771852548198,0.43731555764459
116,W43,300,20,199.788438324565,1.06373062994739
117,W44,300,20,21.59662622745,0.213579757364699
118,W45,300,20,249.703637630437,1.43822182578262
119,W97,300,15,332.938294288781,1.49822232429952
120,W98,300,15,94.3773048988774,0.492197872044948
121,W99,300,15,376.869895394541,1.69591452927543
122,W100,300,15,94.3773048988772,0.424697872044949
123,W101,300,15,376.869895394541,1.62841452927543
124,W102,300,15,94.3773048988772,0.357197872044949
125,W46,300,20,249.70363169571,1.43822179017426
126,W68,300,30,17.6220084534291,0.0460980760808632
127,W47,300,20,17.500172107033,0.180001032642198
128,W103,300,15,38.5,0.17325
129,W48,300,20,126.023799434779,0.696142796608676
130,W49,300,20,591.632767516648,3.54979660509989
131,W50,300,20,126.023894390382,0.69614336634229
132,W51,300,20,50,0.24
133,W52,300,20,251,1.506
134,W53,300,20,26,0.216
135,W54,300,20,28,0.228
136,W55,300,20,33.7983012442726,0.142789807465636
137,W56,300,20,50,0.24
138,W104,299.999999999983,15,57.0000000000001,0.256499999999986
139,W57,299.999999999983,20,44,0.263999999999985
140,W90,299.999999999983,25,290.749647774066,2.01187235830539
141,W58,299.999999999983,20,19.9999999999998,0.0599999999999956
142,W59,299.999999999983,20,26,0.215999999999987
143,W60,299.999999999983,20,22,0.191999999999989
144,W61,299.999999999983,20,26,0.215999999999987
